date,feature_index,NO2
2024-12-30T00:00:00.000Z,0,1.740793171241724E-5
2024-12-26T00:00:00.000Z,0,3.421804103709292E-5
2024-12-23T00:00:00.000Z,0,
2025-04-06T00:00:00.000Z,0,
2025-04-11T00:00:00.000Z,0,
2025-04-13T00:00:00.000Z,0,
2025-04-10T00:00:00.000Z,0,
2025-04-08T00:00:00.000Z,0,
2025-04-12T00:00:00.000Z,0,
2025-04-09T00:00:00.000Z,0,
2025-04-07T00:00:00.000Z,0,6.745523569406942E-5
2025-07-29T00:00:00.000Z,0,
2025-08-02T00:00:00.000Z,0,7.991168240550905E-5
2025-07-31T00:00:00.000Z,0,7.00754280842375E-5
2025-07-28T00:00:00.000Z,0,
2025-08-01T00:00:00.000Z,0,8.820770744932815E-5
2025-07-30T00:00:00.000Z,0,
2025-08-03T00:00:00.000Z,0,
2025-07-27T00:00:00.000Z,0,
2025-01-04T00:00:00.000Z,0,
2025-01-02T00:00:00.000Z,0,2.6539217894120764E-5
2025-01-06T00:00:00.000Z,0,
2025-01-01T00:00:00.000Z,0,
2025-01-03T00:00:00.000Z,0,2.9553334873829346E-5
2025-01-07T00:00:00.000Z,0,
2024-12-31T00:00:00.000Z,0,1.9215250176785048E-5
2025-01-05T00:00:00.000Z,0,
2025-07-26T00:00:00.000Z,0,
2025-07-19T00:00:00.000Z,0,9.147904711426236E-5
2025-07-21T00:00:00.000Z,0,9.878788569039898E-5
2025-07-25T00:00:00.000Z,0,
2025-07-22T00:00:00.000Z,0,8.968743471389946E-5
2025-07-24T00:00:00.000Z,0,
2025-07-20T00:00:00.000Z,0,5.543281804420985E-5
2025-07-23T00:00:00.000Z,0,5.959187910775654E-5
2025-02-26T00:00:00.000Z,0,
2025-03-02T00:00:00.000Z,0,
2025-03-04T00:00:00.000Z,0,
2025-02-25T00:00:00.000Z,0,3.6971032386645675E-5
2025-03-03T00:00:00.000Z,0,
2025-02-27T00:00:00.000Z,0,
2025-02-28T00:00:00.000Z,0,5.165582842892036E-5
2025-03-01T00:00:00.000Z,0,
2025-04-02T00:00:00.000Z,0,
2025-03-30T00:00:00.000Z,0,2.311513169063671E-5
2025-04-05T00:00:00.000Z,0,
2025-03-29T00:00:00.000Z,0,
2025-04-04T00:00:00.000Z,0,2.6280020392732695E-5
2025-03-31T00:00:00.000Z,0,2.6503021217649803E-5
2025-04-01T00:00:00.000Z,0,
2025-04-03T00:00:00.000Z,0,7.61292806904142E-5
2025-10-31T00:00:00.000Z,0,9.363740900880657E-5
2025-01-17T00:00:00.000Z,0,
2025-01-21T00:00:00.000Z,0,
