mean,std,var,rms,zcr,min,max,peak_to_peak,median,iqr,energy,entropy_energy,skew,kurt,centroid,rolloff,bandwidth,flatness,contrast,entropy_spectral,label,filename
0.008289202,0.08898316,0.007918003,0.08936842,0.01873224431818182,-0.6568414,0.9999456,1.6567869,0.0,0.0,176.10706,234.44432,4.885885225205115,50.250576754875006,605.6658059691968,1204.8805930397727,755.5213648656704,0.64091474,15.67245992880867,-3880.0940286466057,buka,dataset48k/train\buka\buka48k-buka_0.wav.wav
0.022352777,0.12907904,0.0166614,0.13100018,0.030351118607954544,-0.6528821,0.9999978,1.65288,0.0,0.016812861897051334,378.40106,693.36475,2.274272608589515,12.11716526785595,789.7594943442854,1384.976473721591,1147.9083858153235,0.27746472,16.669738288090926,-5269.060896213222,buka,dataset48k/train\buka\buka48k-buka_1.wav.wav
0.02235529,0.1290852,0.016662989,0.13100667,0.030262340198863636,-0.65291697,0.999998,1.652915,0.0,0.016804407350718975,378.43863,693.4038,2.274226391840877,12.116863613811052,787.5354171068792,1381.5507368607955,1143.6208480239864,0.2774526,16.68684303846085,-5252.0015141761405,buka,dataset48k/train\buka\buka48k-buka_10.wav.wav
0.022768097,0.12847565,0.016505992,0.1304775,0.04417835582386364,-0.6602735,0.99999183,1.6602653,0.0,0.017138476949185133,375.38757,678.1463,2.394794668867866,12.654151232611108,812.5003500851443,1384.4870827414773,1159.7180225898617,0.23071352,17.035061321437322,-5443.84687598693,buka,dataset48k/train\buka\buka48k-buka_100.wav.wav
0.022701712,0.12848653,0.016508788,0.13047665,0.04433371803977273,-0.6608024,0.9999846,1.6607871,0.0,0.022010144777595997,375.38263,677.74646,2.395946767461199,12.666133665284626,816.3263869879323,1393.5408158735795,1165.2613926975728,0.23085222,17.11781116600119,-5473.316799511906,buka,dataset48k/train\buka\buka48k-buka_101.wav.wav
0.0228175,0.12850475,0.01651347,0.13051479,0.04433371803977273,-0.6603223,0.9999964,1.6603187,0.0,0.017290063202381134,375.6021,678.5765,2.394192381349023,12.646442518815558,811.3694932303301,1385.4658647017045,1156.5576318073242,0.23072854,17.101886354835802,-5435.139933977013,buka,dataset48k/train\buka\buka48k-buka_102.wav.wav
0.031821992,0.22210859,0.049332228,0.2243766,0.04221413352272727,-0.8967634,0.9999957,1.896759,0.0,0.06215773429721594,1110.1042,1493.4526,0.45088217638619704,4.099162657926013,916.158444038263,1757.8924005681818,1049.3834070893731,0.26013508,18.548495809672204,-6248.374038716153,buka,dataset48k/train\buka\buka48k-buka_103.wav.wav
0.022770781,0.12848869,0.016509345,0.13049081,0.04442249644886364,-0.6603241,0.9999923,1.6603165,0.0,0.022176252561621368,375.46417,678.23376,2.3947797337958225,12.653048996868485,812.6799780623977,1386.4446466619318,1158.7772480750514,0.23070456,17.07530432282985,-5445.23005216527,buka,dataset48k/train\buka\buka48k-buka_104.wav.wav
0.031770274,0.22210044,0.049328603,0.22436121,0.04221413352272727,-0.8968538,0.9999909,1.8968446,0.0,0.06205813609994948,1109.9519,1493.0083,0.4507923785112535,4.101020469394582,913.0547866450383,1746.6364080255682,1045.766616583165,0.25998533,18.61010706928723,-6224.108113361021,buka,dataset48k/train\buka\buka48k-buka_105.wav.wav
0.022558691,0.12836137,0.01647664,0.13032857,0.044000799005681816,-0.6606961,0.99997133,1.6606674,0.0,0.02177238999865949,374.531,676.32074,2.397730236791433,12.687939287658944,820.5804102370356,1410.1801091974432,1170.5466059284554,0.2307931,17.164642394692315,-5506.104323535089,buka,dataset48k/train\buka\buka48k-buka_106.wav.wav
0.022793509,0.12849608,0.016511241,0.13050205,0.044000799005681816,-0.66031265,0.99999404,1.6603067,0.0,0.017204103991389275,375.52875,678.3856,2.3945193177341246,12.650427580783925,811.1003423800572,1385.7105601917613,1155.1936665856142,0.23073621,17.096310371227855,-5433.067860633731,buka,dataset48k/train\buka\buka48k-buka_107.wav.wav
0.02280515,0.12849931,0.016512075,0.13050729,0.044267134232954544,-0.6602996,0.9999954,1.660295,0.0,0.02222218201495707,375.55896,678.491,2.3943294638241532,12.647868851673543,810.6704761201204,1383.50830078125,1154.9815626368534,0.2307199,17.099847752996777,-5429.758695684863,buka,dataset48k/train\buka\buka48k-buka_108.wav.wav
0.020856597,0.12516856,0.01566717,0.12689433,0.044111772017045456,-0.65665334,0.9999943,1.6566477,0.0,0.013425187906250358,355.05286,622.93396,2.543962332478628,14.368262270742214,1041.6088777772277,1837.9078258167613,1352.315898385883,0.20836958,16.508913417540498,-7237.641988714754,buka,dataset48k/train\buka\buka48k-buka_109.wav.wav
0.028020212,0.23430723,0.054899875,0.2359767,0.029130415482954544,-0.89755064,0.99999595,1.8975465,0.0,0.040115827694535255,1227.8542,1493.7727,0.310523689258819,4.097396232294791,860.7543524091168,1689.132967862216,1045.1366286728673,0.32784173,18.10242644067582,-5816.813646132994,buka,dataset48k/train\buka\buka48k-buka_11.wav.wav
0.033201482,0.22666736,0.051378094,0.22908607,0.04149280894886364,-0.88712066,0.9999906,1.8871112,0.0,0.08032077550888062,1157.1935,1501.2461,0.47751576435805054,4.402264997383947,888.5610436872863,1758.1370960582387,1059.6002762194528,0.22933874,19.507187830658978,-6032.977038401962,buka,dataset48k/train\buka\buka48k-buka_110.wav.wav
